,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Apollo 11,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Apollo 13,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no
Appalachia,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
Appalachian Power,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Apple Jack,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes
Apple Kush,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
Appleberry,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes
Arctic Sun,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
ArcticBlue,yes,no,no,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no
Area 51,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no
Argyle,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Arjan's Strawberry Haze,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes
Arjan's Ultra Haze #1,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes
Armageddon,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
Armagnac,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
Ash,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no
Asian Fantasy,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no
Aspen OG,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no
Astroboy,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
Athabasca,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no
