,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Honey Bananas,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes
Honey Boo Boo,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
Hong Kong,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Hoodwreck,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no
Huckleberry,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,yes
Huckleberry Hound,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Hulkamania,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no
Humboldt,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes
Humboldt Dream,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Humboldt Headband,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Hurkle,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes
Hurricane,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
Hustler Kush,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
ICED Grapefruit,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
IG Kush,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Ice,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no
Ice Cream,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Ice Princess,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Ice Queen,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Ice Wreck,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no
Iced Widow,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no
Ill OG,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no
Illuminati OG,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no
In The Pines,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes
Incredible Bulk,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes
Incredible Hulk,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes
Industrial Plant,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Ingrid,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Irene OG,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Iron Triangle,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Island Haze,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Island Maui Haze,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no
Island Sweet Skunk,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
J's Famous Kush,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no
J-27,no,yes,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no
J1,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
Jack 47,yes,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no
Jack Burton,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no
Jack Diesel,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,no
Jack Flash,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Jack Frost,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Jack Haze,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Jack Herer,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Jack Kush,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes
Jack Skellington,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes
Jack Smack,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
Jack Widow,no,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
Jack Wreck,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Jack the Ripper,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Jack's Cleaner,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no
Jack's Dream,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no
Jackalope,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no
Jacked-Up,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no
Jacky White,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no
Jah Kush,yes,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Jahwaiian,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Jamaican,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Jamaican Dream,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
Jamaican Lion,yes,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
Jamaican Pearl,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no
Jamba Juice,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes
Jane Doe,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
Jasmine,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Jawa Pie,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Jazz,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Jean Guy,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no
Jedi Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Jelly Roll,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
Jenni,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Jenny Kush,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes
Jesse's Girl,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no
Jesus,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Jesus OG,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Jet Fuel,yes,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no
Jillybean,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Jimi Hendrix,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Jock Horror,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Johnny’s Tonic,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no
Jolly Rancher,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no
Josh D OG,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no
Jr,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Juicy Fruit,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Juicy Jack,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
Juliet,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes
Julius Caesar,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no
Jungle Juice,yes,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
Jupiter OG,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
K-Train,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
K1,no,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no
K2,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
KC 33,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no
KC 36,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
KT Dawg,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Kaboom,no,yes,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Kahuna,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Kaia Kush,yes,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Kalalau Kush,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Kalashnikova,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Kali 47,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes
Kali China,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Kali Dog,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no
Kali Mist,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes
Kandahar,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no
Kandy Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Kaptn’s Grand Dream,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no
Karma Bitch,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no
Katsu Bubba Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Katsu Kush,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes
Kaua’i Electric,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Kelly Hill Gold,no,no,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes
Ken's Kush,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no
Kerala Krush,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Key Lime Pie,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Khalifa Kush,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no
Khufu,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Kid N' Kookies,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes
Kilimanjaro,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Kill Bill,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no
Killer Grape,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Killer Queen,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Killing Fields,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no
Kimbo Kush,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
King Cake,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no
King Kong,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,yes
King Louis XIII,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes
King's Bread,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no
King's Kush,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
Kiwiskunk,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
Kobain Kush,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no
Kona Gold,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Kong,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes
Kool-Aid Smile,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Kosher Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes
Kosher Tangie,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes
Kraken,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes
Krishna Kush,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no
Kryptonite,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no
Kuato,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Kuchi,yes,no,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no
Kurple Fantasy,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Kush Cleaner,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Kushadelic,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
Kushage,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
Kushashima,yes,no,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Kushberry,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no
L'Eagle Eagle,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes
L.A.K. Federal Reserve,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
LA Chocolat,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes
LA Confidential,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
LA Jack,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
LA Kookies,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes
LA Kush,yes,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no
LA OG,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes
LA Ultra,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
LA Woman,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
LAPD,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
LSD,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
LVPK,yes,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no
Lady Liberty,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Ladyburn 1974,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no
Lake of Fire,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
